facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00031,601,55.29,-119.83,1,4,2,120,5,30,120,13046.5310226624,1,10,False,,,9,0,69,6,False,1,0,0,0.2725450901803607,0.7286835102945541
ABRAND00004,601,55.32,-119.96,1,4,2,120,5,30,120,13397.4798325632,1,20,False,,,9,0,69,6,False,1,0,0,0.2745490981963928,0.7301983775932392
ABRAND00105,601,55.84,-119.42,1,4,2,120,5,30,120,51264.248744102406,2,17,False,,,8,1,69,6,False,1,0,0,0.27655310621242485,0.7317029317325519
ABRAND00060,601,56.12,-119.65,1,4,2,120,5,30,120,11421.4263706944,0,19,False,,,8,1,69,6,False,1,0,2,0.2785571142284569,0.7332073661728203
ABRAND00057,601,56.03,-119.68,1,4,2,120,5,30,120,2804.3669380608003,1,8,False,,,8,1,69,6,False,1,0,0,0.280561122244489,0.7347058173873223
ABRAND00046,601,56.03,-119.71,1,4,2,120,5,30,120,7611.085749772801,0,17,False,,,8,1,69,6,False,1,0,1,0.28256513026052105,0.7361892935603072
ABRAND00111,601,55.55,-119.38,1,4,2,120,5,30,120,58407.692561280004,0,23,False,,,9,1,69,6,False,1,0,0,0.2845691382765531,0.7376512005440653
ABRAND00048,311,55.26,-119.71,1,4,2,120,5,30,120,19741.6321905024,1,15,False,,,9,1,69,6,False,1,0,2,0.2865731462925852,0.739095832513505
ABRAND00965,362,52.67,-114.1,1,4,2,120,5,30,120,32567.541234451204,1,8,False,,,15,12,67,6,False,1,0,0,0.28857715430861725,0.7405396338607061
ABRAND00951,362,52.7,-114.14,1,4,2,120,5,30,120,8271.9652171968,0,14,False,,,15,12,67,6,False,1,0,0,0.2905811623246493,0.7419806512893958
ABRAND00926,361,52.67,-114.2,1,4,2,120,5,30,120,22878.1177569216,2,17,False,,,15,12,67,6,False,1,0,0,0.2925851703406814,0.743413579381734
ABRAND00936,601,52.42,-114.18,1,4,2,120,5,30,120,10252.359295488002,2,14,False,,,15,12,67,6,False,1,0,0,0.29458917835671344,0.7448415457609114
ABRAND00949,351,52.58,-114.15,1,4,2,120,5,30,120,9272.1650924448,1,10,False,,,15,12,67,6,False,1,0,0,0.2965931863727455,0.7462681030466277
ABRAND00961,351,52.71,-114.11,1,4,2,120,5,30,120,4439.0069565984,0,17,False,,,15,12,67,6,False,1,0,0,0.2985971943887776,0.7476927686242816
ABRAND00583,601,52.68,-115.4,1,4,2,120,5,30,120,6469.5870108288,0,12,False,,,15,9,67,6,False,1,0,0,0.30060120240480964,0.7491164549086249
ABRAND00699,351,52.9,-114.98,1,4,2,120,5,30,120,17235.8441432352,1,11,False,,,14,10,67,6,False,1,0,0,0.3026052104208417,0.7505325735413976
ABRAND00041,601,55.18,-119.78,1,4,2,120,5,30,120,6388.1880730848,0,12,False,,,10,0,57,6,False,1,0,0,0.3046092184368738,0.7519254614133538
ABRAND00026,601,55.07,-119.86,1,4,2,120,5,30,120,18461.721494563197,1,12,False,,,10,0,57,6,False,1,0,1,0.3066132264529058,0.7533091087976109
ABRAND00052,601,55.11,-119.69,1,4,2,120,5,30,120,5658.706671984,0,10,False,,,10,1,57,6,False,1,0,0,0.30861723446893785,0.7546927219120503
ABRAND00062,601,55.13,-119.64,1,4,2,120,5,30,120,2167.9884392832005,1,11,False,,,10,1,57,6,False,1,1,0,0.3106212424849699,0.756072720322533
ABRAND00078,601,54.98,-119.56,1,4,2,120,5,30,120,4977.9625371552,0,13,False,,,10,1,57,6,False,1,0,0,0.312625250501002,0.7574394918541153
ABRAND00065,503,55.03,-119.62,1,4,2,120,5,30,120,15919.3950778944,1,16,False,,,10,1,57,6,False,1,0,2,0.31462925851703405,0.758804842207269
ABRAND00039,601,55,-119.79,1,4,2,120,5,30,120,12085.1583747264,1,11,False,,,10,0,57,6,False,1,0,0,0.3166332665330661,0.7601651015449638
ABRAND00018,601,55.04,-119.9,1,4,2,120,5,30,120,12570.766165814402,0,11,False,,,10,0,57,6,False,1,0,0,0.3186372745490982,0.7615244052609887
ABRAND00043,501,55.23,-119.77,1,4,2,120,5,30,120,47605.654855814406,0,20,False,,,10,0,57,6,False,1,0,2,0.32064128256513025,0.7628828940813421
